#sommets degres moi graphstream
10000 5 6480 81
10000 5 7889 78
10000 5 8879 78
10000 5 9188 87
10000 5 7920 82
10000 5 6842 86
10000 5 8104 80
10000 5 6687 79
10000 5 6382 77
10000 5 6847 84
10000 5 8318 85
10000 5 6655 76
10000 5 7797 82
10000 5 6715 76
10000 5 8072 82


10000 15 24269 148
10000 15 25984 159
10000 15 29424 131
10000 15 18595 36
10000 15 25466 86
10000 15 20752 29
10000 15 21471 30
10000 15 21259 30
10000 15 19317 35
10000 15 26750 27
10000 15 35437 30
10000 15 19970 27
10000 15 19919 39
10000 15 34059 27
10000 15 51350 31


8500 5 4916 62
8500 5 4438 29
8500 5 4782 21
8500 5 4076 15
8500 5 4405 14
8500 5 4869 15
8500 5 4375 16
8500 5 4398 14
8500 5 4618 10
8500 5 4754 12
8500 5 3710 13
8500 5 4224 11
8500 5 4369 15
8500 5 4707 13
8500 5 3719 11

8500 15 17771 27
8500 15 16493 28
8500 15 15201 28
8500 15 15354 33
8500 15 16915 25
8500 15 26040 54
8500 15 28161 25
8500 15 14871 26
8500 15 19345 23
8500 15 20447 27
8500 15 16280 20
8500 15 15392 25
8500 15 15428 29
8500 15 22865 29
8500 15 17576 26


7000 5 2720 52
7000 5 2679 22
7000 5 3160 18
7000 5 2205 11
7000 5 2292 11
7000 5 2490 12
7000 5 2242 11
7000 5 2354 11
7000 5 2481 11
7000 5 2454 10
7000 5 2571 8
7000 5 2463 9
7000 5 2688 11
7000 5 3011 11
7000 5 2832 10


7000 15 11357 21
7000 15 9571 22
7000 15 11469 20
7000 15 10165 27
7000 15 10170 18
7000 15 9843 19
7000 15 8426 20
7000 15 12328 20
7000 15 15956 22
7000 15 10625 19
7000 15 10167 20
7000 15 9410 19
7000 15 10367 20
7000 15 9558 17
7000 15 13643 24


5000 5 1283 36
5000 5 1385 13
5000 5 1004 9
5000 5 900 6
5000 5 1852 6
5000 5 1684 7
5000 5 1371 6
5000 5 1301 8
5000 5 1101 6
5000 5 954 7
5000 5 867 6
5000 5 1275 7
5000 5 1615 6
5000 5 1560 6
5000 5 1450 5


5000 15 4953 70
5000 15 6352 28
5000 15 6505 24
5000 15 7072 17
5000 15 5817 20
5000 15 3623 10
5000 15 4703 14
5000 15 6831 13
5000 15 3868 11
5000 15 5168 16
5000 15 5933 11
5000 15 5898 13
5000 15 5827 22
5000 15 5698 19
5000 15 3663 9


3000 5 421 36
3000 5 500 9
3000 5 304 5
3000 5 410 5
3000 5 321 3
3000 5 326 2
3000 5 428 3
3000 5 256 3
3000 5 356 2
3000 5 409 5
3000 5 238 3
3000 5 436 5
3000 5 397 4
3000 5 282 4
3000 5 408 4


3000 15 1507 8
3000 15 1105 5
3000 15 1332 5
3000 15 1684 5
3000 15 1869 9
3000 15 1766 10
3000 15 1129 5
3000 15 1443 5
3000 15 1888 9
3000 15 1732 7
3000 15 1119 5
3000 15 1480 4
3000 15 1776 8
3000 15 2502 6
3000 15 1512 7


1000 5 130 23
1000 5 37 4
1000 5 74 3
1000 5 55 5
1000 5 63 5
1000 5 43 3
1000 5 48 3
1000 5 74 3
1000 5 83 2
1000 5 61 2
1000 5 50 2
1000 5 42 2
1000 5 44 1
1000 5 31 1
1000 5 21 1


1000 15 229 33
1000 15 184 6
1000 15 145 7
1000 15 119 3
1000 15 91 2
1000 15 70 1
1000 15 57 1
1000 15 81 2
1000 15 66 1
1000 15 79 1
1000 15 81 2
1000 15 67 1
1000 15 72 2
1000 15 69 1
1000 15 80 1


500 5 51 22
500 5 22 3
500 5 11 2
500 5 16 1
500 5 18 3
500 5 8 1
500 5 14 1
500 5 13 3
500 5 17 1
500 5 14 1
500 5 17 1
500 5 13 1
500 5 10 1
500 5 9 1
500 5 12 2


500 15 105 19
500 15 28 4
500 15 33 2
500 15 39 2
500 15 37 2
500 15 34 2
500 15 32 2
500 15 32 2
500 15 21 1
500 15 31 1
500 15 45 1
500 15 33 1
500 15 20 1
500 15 15 1
500 15 14 1
